115,殼中少女,其他文庫,沖方丁,已完成,2009-03-11,389745字
116,礦物質超女,HJ文庫,冬樹忍,已完成,2010-10-31,680968字
117,狂戀聲優寶貝,Fami通文庫,木本雅彥,已完成,2010-10-31,110092字
118,骷髏戀人,MF文庫J,平阪讀,已完成,2010-10-31,599176字
119,空罐少女,集英社,藍上陸,連載中,2013-07-30,1075833字
120,肯普法,MF文庫J,築地俊彥,已完成,2010-12-11,1149769字
121,今天開始做魔王,少女文庫,喬林知,連載中,2010-10-30,1754154字
122,姬宮學姊的內在美,MF文庫J,月見草平,已完成,2010-10-29,405112字
123,絞纈城綺譚,其他文庫,田中芳樹,已完成,2009-03-11,92571字
124,驚爆草莓,電擊文庫,公野櫻子,已完成,2010-04-03,49473字
125,家庭教師REBORN,集英社,子安秀明,連載中,2011-12-05,314081字
126,角與夜之王,電擊文庫,紅玉伊月,已完成,2009-03-11,88851字
127,將花束獻給月亮與你,電擊文庫,志村一矢,已完成,2010-10-29,775235字
129
129,吉永家的石像怪,Fami通文庫,田口仙年堂,已完成,2013-02-15,1256373字
130,君吻,Fami通文庫,日暮茶坊,已完成,2010-10-29,117831字
131,9S,電擊文庫,葉山透,連載中
132,甲賀忍法帖,其他文庫,山田風太郎,已完成,2009-03-11,142563字
133,歡迎加入NHK！,角川文庫,瀧本龍彥,已完成,2009-03-12,105626字
134,紅 Kure-nai,集英社,片山憲太郎,連載中,2015-01-13,518896字
135,篁破幻草子,少女文庫,結城光流,已完成,2010-10-24,384702字
136,紅塵,其他文庫,田中芳樹,已完成,2009-03-12,104393字
138
138,海嘯,其他文庫,田中芳樹,已完成,2009-03-12,128673字
141
141
141,BLACK BLOOD BROTHERS 黑血兄弟,富士見文庫,字野耕平,已完成,2016-03-27,1855220字
142,高校女僕警察,GA文庫,澤上水也,已完成,2018-01-16,823553字
143,高中女神,HJ文庫,チろマ玲子,連載中,2010-10-18,81137字
144,GOSICK,角川文庫,櫻庭一樹,連載中,2017-12-29,1586495字
145,貴族偵探愛德華,少女文庫,椹野道流,連載中,2014-11-21,661056字
146,歌月十夜,游戲劇本,奈須蘑菇,已完成,2010-04-01,274313字
147,鋼殼都市雷吉歐斯,富士見文庫,雨木秀介,已完成,2015-02-08,2376981字
149
149,鋼鐵白兔騎士團,Fami通文庫,舞阪�,已完成,2012-04-06,1205281字
150,風之大陸,角川文庫,竹河聖,連載中,2011-12-20,669900字
151,風之聖痕,富士見文庫,山門敬弘,已完成,2011-12-07,1074667字
153
153,廢棄公主,富士見文庫,�Y一郎,已完成,2010-10-17,1100353字
155
155,緋華Sparkling,HJ文庫,藤原征失,已完成,2010-10-16,170993字
156,福音少年,其他文庫,加地尚武,連載中,2011-07-26,602598字
157,付喪堂古董店,電擊文庫,御堂彰彥,已完成,2012-09-27,748390字
158,扉之外,電擊文庫,土橋真二郎,已完成,2010-10-12,331043字
162
162
162
162,EX！,GA文庫,織田兄第,連載中,2016-05-14,723266字
163,惡狼難馴,Fami通文庫,黑川實,已完成,2010-10-12,635865字
